Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
27	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	28.80	0.55	0.32	-3.47	1939.02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
28	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	28.35	0.55	0.32	-3.48	1959.38	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
29	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	27.67	0.55	0.33	-3.49	1989.67	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
30	25.00	0.55	0.35	0.71	491.92	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.79	322.87	-0.83	375.59	26.76	0.55	0.34	-3.50	2030.04	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
31	25.00	0.55	0.35	0.69	483.49	-4.50	1855.26	-3.98	1638.29	-4.41	1818.13	-4.21	1734.01	-4.58	1888.33	-4.48	1847.14	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	25.63	0.55	0.35	-3.59	2049.47	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
32	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	25.66	0.55	0.35	-3.59	2047.61	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
33	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	27.04	0.55	0.33	-3.56	1979.41	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
34	25.00	0.55	0.35	0.69	483.49	-3.97	1711.25	-3.53	1518.83	-3.83	1651.09	-4.78	2059.79	-5.03	2168.20	-4.13	1778.47	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	28.03	0.55	0.33	-3.54	1930.56	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
35	25.00	0.55	0.35	0.69	483.49	-3.96	1726.59	-3.40	1482.71	-4.45	1941.10	-5.08	2217.13	-4.51	1969.37	-3.65	1590.79	45.00	0.55	0.20	0.72	328.42	-0.80	385.45	28.63	0.55	0.32	-3.53	1900.78	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
36	25.00	0.55	0.35	0.74	592.77	-3.96	1726.59	-3.40	1482.71	-4.45	1941.10	-5.08	2217.13	-4.51	1969.37	-3.65	1590.79	45.00	0.55	0.20	0.80	355.45	-0.87	459.69	29.16	0.55	0.32	-3.92	2419.16	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
