Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Angle	DL	SL	Wutt	*	Wdtt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Angle	DL	SL	Wutt	*	Wdtt	*	Angle	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
33	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	36.76	0.55	0	-4.47	2340.54	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
34	30	0.55	0	0.69	317.97	-0.94	566.94	-6.04	2082.81	-5.33	1837.77	-4.98	1715.25	-6.82	2350.89	-7.04	2426.1	-5.87	2020.94	45	0.55	0	0.91	315.3	-0.94	407.77	38.22	0.55	0	-4.5	2282.81	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
35	30	0.55	0	0.69	317.97	-0.94	566.94	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	0.91	315.3	-0.94	407.77	38.03	0.55	0	-4.5	2290.33	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
36	30	0.55	0	1.01	580.95	-1	549.51	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	1.01	479.74	-1.24	494.66	37.75	0.55	0	-5.4	2484.37	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
37	30	0.55	0	1.01	580.95	-1	549.51	-5.65	1944.85	-5.04	1734.11	-6.42	2210.99	-7	2408.49	-6.18	2129.1	-5.09	1753.38	45	0.55	0	1.01	479.74	-1.24	494.66	37.16	0.55	0	-5.34	2487.72	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
38	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	36.27	0.55	0	-5.25	2492.85	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
39	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	35.27	0.55	0	-5.14	2498.58	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
40	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	34.07	0.55	0	-5.02	2505.49	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
41	30	0.55	0	1.29	1151.3	-1.21	799.15	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.37	1089.01	-1.47	587.45	32.64	0.55	0	-5.88	3541.2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
42	30	0.55	0	1.29	1151.3	-1.21	799.15	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.37	1089.01	-1.47	587.45	30.93	0.55	0	-5.69	3629.61	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
